oii_3726_flux,neiii_3869_flux,oiii_5007_flux,h_beta_flux,nii_6584_flux,h_alpha_flux,sii_6731_flux,Redshift,bptclass
16.7121,8.305775,25.15825,11.26501,53.53598,44.52198,12.28635,0.1536002,5
11.67728,1.630847,4.385449,10.2273,17.84882,38.33061,7.153873,0.06770252,2
6.612644,-0.5831988,10.24901,21.08322,34.42918,97.32662,8.237232,0.07158983,2
75.18677,36.09502,589.1237,67.27792,262.5556,299.8377,56.99481,0.03074224,4
28.98552,12.9323,8.99727,12.95431,52.93204,97.16862,20.51668,0.05260282,2
39431.43,196.3511,2842.657,615.1938,80.72092,2296.631,110.47,0.02171789,1
16.15735,-6.307954,30.22203,11.0407,17.81013,28.3912,-1.157692,0.03073909,5
24.55861,2.587665,7.44875,27.17783,41.91136,104.7169,19.56316,0.06750636,2
145.1697,26.04647,86.13953,266.446,489.7381,1334.967,146.9877,0.05217639,1
142.9789,0.013548,84.05383,278.8475,495.1776,1346.125,155.2246,0.0522889,1
65.47157,42.67329,594.889,58.5244,269.4241,307.6506,67.1727,0.03070351,4
-5.484191,-8.078348,4.001622,6.364493,17.0885,44.71756,2.829921,0.06226088,2
12.12287,-8.779974,4.097928,4.08115,11.6204,20.28218,3.087184,0.06240187,2
10.69001,-4.664279,12.95568,17.39622,54.30597,97.32457,19.82865,0.05255049,2
20126.22,63.47535,812.6094,663.3417,478.5448,2362.678,309.4637,0.02174484,1
250.0155,26.93217,145.1758,218.4372,284.6306,1031.952,107.7979,0.05248393,1
18.73857,1.115763,31.62962,9.270573,12.74175,34.02883,-1.191617,0.03076891,2
99.02444,12.83585,70.26048,83.58832,107.1019,376.7933,58.40382,0.05354775,1
225.6082,7.690753,143.7897,225.4737,292.6825,1058.688,116.3645,0.0524687,1
0,206.9457,2956.007,663.3409,85.94353,2255.693,110.1759,0.02170876,1
58.51575,1.340249,105.4667,34.14171,67.42683,135.4434,31.64611,0.03645882,4
29.43218,4.072162,8.509685,28.34829,43.30858,121.1951,20.14495,0.067523,2
0,67.92199,780.1143,638.0527,465.8451,2292.528,299.6579,0.021758,1
